,name,location,price_for_two,cuisines,rating,restaurant_link
41,Stories Brewery & Kitchen,"BTM, Bangalore",1800,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info
42,Zen - The Leela Palace,"The Leela Palace, Old Airport Road, Bangalore",3500,"Thai, Japanese, Chinese, Rolls",4.1,https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road/info
43,Homiga,"Forum Rex Walk, Bangalore",1500,"Korean, Asian",4.1,https://www.zomato.com/bangalore/homiga-brigade-road-bangalore/info
44,The Weekly Brewhouse & Kitchen,"Hosur Road, Bangalore",1500,"Continental, Bar Food, Chinese, North Indian, Pasta, Pizza, Biryani, Beverages",4.5,https://www.zomato.com/bangalore/the-weekly-brewhouse-kitchen-5-hosur-road-bangalore/info
45,Asia Alive - DoubleTree Suites By Hilton,"DoubleTree Suites By Hilton, Sarjapur, Bangalore",3500,"North Indian, South Indian, Chinese, Thai, Italian, Burger, Sandwich, Beverages",3.9,https://www.zomato.com/bangalore/asia-alive-doubletree-suites-by-hilton-sarjapur-road-bangalore/info
46,Chowman,"Indiranagar, Bangalore",1400,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/info
47,The Hole In The Wall Cafe,"Koramangala 4th Block, Bangalore",700,"Cafe, Continental, Burger, Sandwich, Shake, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/the-hole-in-the-wall-cafe-koramangala-4th-block-bangalore/info
48,Geometry Brewery & Kitchen,"Malleshwaram, Bangalore",1800,"Chinese, North Indian, Italian, Continental, Pizza, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/geometry-brewery-kitchen-malleshwaram-bangalore/info
49,Quattro - The Leela Bhartiya City Bengaluru,"The Leela - Bhartiya City, Bangalore",3500,"North Indian, Mediterranean, European",4.2,https://www.zomato.com/bangalore/quattro-the-leela-bhartiya-city-bengaluru-jakkur-bangalore/info
50,1131 Bar + Kitchen By House Of Commons,"Indiranagar, Bangalore",2200,"Finger Food, North Indian, Continental, Chinese, Italian, Asian, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/1131-bar-kitchen-by-house-of-commons-indiranagar-bangalore/info
51,Lush - Renaissance Hotel,"Renaissance Hotel, Race Course Road, Bangalore",3500,"North Indian, Continental, Chinese, Fast Food",4.4,https://www.zomato.com/bangalore/lush-renaissance-hotel-race-course-road-bangalore/info
52,The Terrace at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block, Bangalore",2000,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/the-terrace-at-gillys-redefined-koramangala-4th-block/info
53,Biergarten,"Whitefield, Bangalore",2500,"Continental, European, BBQ, Chinese, Asian, Beverages",4.6,https://www.zomato.com/bangalore/biergarten-whitefield/info
54,Cafe Grey By Dongle & Co,"Indiranagar, Bangalore",1200,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",4.4,https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore/info
55,F5,"Embassy Manyata Business Park,  Nagawara , Bangalore",3100,"North Indian, Continental, Pizza, Fast Food, Coffee, Tea, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/f5-3-nagawara-bangalore/info
56,154 Breakfast Club,"JP Nagar, Bangalore",1100,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",4.5,https://www.zomato.com/bangalore/154-breakfast-club-jp-nagar-bangalore/info
57,Street 1522,"Sarjapur Road, Bangalore",2200,"North Indian, Asian, Seafood, Continental, Mughlai, Kebab, Street Food, Beverages",4.3,https://www.zomato.com/bangalore/street-1522-sarjapur-road-bangalore/info
58,The Market - The Ritz-Carlton,"The Ritz-Carlton, Bangalore",3000,"North Indian, European, Asian",4.1,https://www.zomato.com/bangalore/the-market-the-ritz-carlton-residency-road/info
59,Daddy,"Indiranagar, Bangalore",1700,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages",4.3,https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info
60,SLAY Coffee Bar,"Miraya Rose, Bangalore",600,"Cafe, Coffee, Beverages, Fast Food",4.2,https://www.zomato.com/bangalore/slay-coffee-bar-whitefield-bangalore/info
61,Phurr,"Jayanagar, Bangalore",2000,"North Indian, Continental",4.2,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info
62,The Kind Roastery & Brew Room,"JP Nagar, Bangalore",500,"Cafe, Coffee, Desserts, Asian, Pizza, Tea, Beverages, Pasta",4.5,https://www.zomato.com/bangalore/the-kind-roastery-brew-room-jp-nagar-bangalore/info
63,The Square - Novotel,"Novotel Bengaluru, Marathahalli, Bangalore",3200,"Continental, North Indian, Japanese, Italian",4.3,https://www.zomato.com/bangalore/the-square-novotel-marathahalli/info
64,Tastique,"Nagawara, Bangalore",1500,"North Indian, Chinese, Beverages",4.4,https://www.zomato.com/bangalore/tastique-6-nagawara-bangalore/info
65,Brik Oven,"Indiranagar, Bangalore",1200,"Pizza, Fast Food, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/brik-oven-indiranagar-bangalore/info
66,Magique,"Koramangala 6th Block, Bangalore",1700,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages",3.8,https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info
67,Melange,"Radisson Blu, Marathahalli, Bangalore",3500,"North Indian, South Indian, Continental, Italian, Desserts",4.0,https://www.zomato.com/bangalore/melange-marathahalli-bangalore/info
68,Nusa,"Varthur Main Road, Whitefield, Bangalore",1500,"Continental, Chinese",3.7,https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info
69,Restaurant Chef Pillai,"Brigade Road, Bangalore",1000,Kerala,4.4,https://www.zomato.com/bangalore/restaurant-chef-pillai-brigade-road-bangalore/info
70,Secret Story,"Indiranagar, Bangalore",1500,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages",4.0,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info
71,Mykos Craft Kitchen & Bar,"Bannerghatta Road, Bangalore",1600,"Continental, Greek, Asian, Mediterranean, North Indian",4.3,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info
72,Tuk Tuk Thai - Pure Veg Asian Fine Dine,"Koramangala 5th Block, Bangalore",2000,"Thai, Asian, Chinese, Desserts, Beverages",4.8,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-koramangala-5th-block-bangalore/info
73,The Verandah Koramangala,"Koramangala 3rd Block, Bangalore",1500,"South Indian, Asian, Salad, Healthy Food, Chinese, Desserts",3.3,https://www.zomato.com/bangalore/the-verandah-koramangala-4-koramangala-3rd-block-bangalore/info
74,Truffles,"Koramangala 5th Block, Bangalore",1100,"Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",4.6,https://www.zomato.com/bangalore/truffles-koramangala-5th-block/info
75,46 Ounces,"RMZ Infinity, Old Madras Road, Bangalore",1200,"North Indian, Asian, Italian, Pizza, Desserts",4.4,https://www.zomato.com/bangalore/46-ounces-old-madras-road-bangalore/info
76,The Rameshwaram Cafe,"Indiranagar, Bangalore",200,"South Indian, Beverages",4.2,https://www.zomato.com/bangalore/the-rameshwaram-cafe-indiranagar-bangalore/info
77,BLR Brewing Co,"Whitefield, Bangalore",1200,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts",New,https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info
78,Smoor,"Indiranagar, Bangalore",600,"Bakery, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/smoor-2-indiranagar-bangalore/info
79,Sky Garden,"Whitefield, Bangalore",2000,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info
80,Miso Sexy,"Indiranagar, Bangalore",1800,"Japanese, Chinese, Sushi, Beverages",4.4,https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info
81,One8 Commune,"Lavelle Road, Bangalore",3000,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore/info
82,Spice It - Ibis Hotel,"Hebbal, Bangalore",1800,"North Indian, Chinese, Italian, Continental, Pasta, Desserts, Beverages",3.7,https://www.zomato.com/bangalore/spice-it-ibis-hotel-hebbal-bangalore/info
83,Deck Of Brews,"Kadubeesanahalli, Bangalore",1500,"Continental, North Indian, Italian, Asian, Desserts, Pizza, Pasta, South Indian",4.3,https://www.zomato.com/bangalore/deck-of-brews-kadubeesanahalli-bangalore/info
84,The Creek - The Den Bengaluru,"The Den, Whitefield, Bangalore",3000,"North Indian, South Indian, Asian, Pizza, Desserts",4.2,https://www.zomato.com/bangalore/the-creek-the-den-bengaluru-whitefield/info
85,Theo Cafe,"Hennur, Bangalore",1000,"Continental, Asian, Coffee, Japanese, Italian, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/theo-cafe-3-hennur-bangalore/info
86,Aurum Brew Works,"Sarjapur Road, Bangalore",1500,"North Indian, Mughlai, Continental, Asian, Beverages, Desserts",4.3,https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore/info
87,The Coffee Brewery,"Koramangala 4th Block, Bangalore",800,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages",3.7,https://www.zomato.com/bangalore/the-coffee-brewery-koramangala-4th-block-bangalore/info
88,The Caffeine Baar,"Jayanagar, Bangalore",950,"Cafe, Italian, Continental, Bakery, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/the-caffeine-baar-jayanagar-bangalore/info
89,Raahi,"St. Marks Road, Bangalore",2000,"North Indian, Pasta, Pizza, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info
90,Float Brewery,"Kalyan Nagar, Bangalore",1500,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages",4.4,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info
91,Harley's Fine Baking,"JP Nagar, Bangalore",600,"Bakery, Sandwich",4.0,https://www.zomato.com/bangalore/harleys-fine-baking-jp-nagar-bangalore/info
92,Bramble,"Jayanagar, Bangalore",1800,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",4.5,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info
93,Hard Rock Cafe,"St. Marks Road, Bangalore",2500,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages",4.6,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info
94,Sashay-Taproom Kitchen,"Whitefield, Bangalore",2000,"Asian, Modern Indian, Continental, Sushi, North Indian, Chinese, Desserts, Beverages",4.8,https://www.zomato.com/bangalore/sashay-taproom-kitchen-whitefield-bangalore/info
95,The Black Pearl,"Kadubeesanahalli, Bangalore",2100,"North Indian, Chinese, Fast Food, Street Food, Mughlai, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/the-black-pearl-kadubeesanahalli-bangalore/info
96,Red Rhino,"Whitefield, Bangalore",2000,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info
97,Byg Brewski Brewing Company,"Sarjapur Road, Bangalore",2000,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",4.6,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info
98,Nook,"Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore",1200,"North Indian, Continental, Asian, Fast Food, South Indian, Desserts, Waffle",4.0,https://www.zomato.com/bangalore/nook-kadubeesanahalli-bangalore/info
99,Taproom By Sherlock's,"JP Nagar, Bangalore",1800,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info
100,Zoey's,"Sarjapur Road, Bangalore",700,"Burger, Beverages, Continental, Pasta, Chinese, Sandwich, Cafe, Desserts",4.2,https://www.zomato.com/bangalore/zoeys-sarjapur-road/info
101,Moglu - The Edgy Veggie Restaurant,"St. Marks Road, Bangalore",1000,"American, Continental, Desserts, Beverages",New,https://www.zomato.com/bangalore/moglu-the-edgy-veggie-restaurant-st-marks-road-bangalore/info
102,High Ultra Lounge,"Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore",3600,"North Indian, Continental, Finger Food, Desserts",4.2,https://www.zomato.com/bangalore/high-ultra-lounge-malleshwaram/info
103,Caraway Kitchen - Conrad Bengaluru,"Conrad Bengaluru, Ulsoor, Bangalore",3900,"Asian, Continental, North Indian, Italian, Fast Food",4.1,https://www.zomato.com/bangalore/caraway-kitchen-conrad-bengaluru-ulsoor/info
104,Fox In The Field,"Forum Shantiniketan Mall, Whitefield, Bangalore",2000,"Modern Indian, Continental, North Indian, Pizza, American, Italian, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/fox-in-the-field-whitefield-bangalore/info
105,TYD,"Hennur, Bangalore",1900,"Asian, European, Sushi, Continental, Italian, Mexican, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/tyd-1-hennur-bangalore/info
106,Kana By Coffee Mechanics,"HBR Layout, Bangalore",1000,"Cafe, Coffee, Pizza, Continental, Desserts, Beverages, Burger, Pasta",4.3,https://www.zomato.com/bangalore/kana-by-coffee-mechanics-hbr-layout-bangalore/info
107,Kari Theory - Namma Bar & Kitchen,"Radisson Bangalore City Centre, Ulsoor, Bangalore",3500,"Chinese, North Indian, Biryani, Asian, Fast Food, Beverages",4.1,https://www.zomato.com/bangalore/kari-theory-namma-bar-kitchen-ulsoor-bangalore/info
108,The Coffee Brewery,"Kalyan Nagar, Bangalore",800,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts",3.3,https://www.zomato.com/bangalore/the-coffee-brewery-kalyan-nagar-bangalore/info
109,Lavonne,"Indiranagar, Bangalore",1300,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",4.5,https://www.zomato.com/bangalore/lavonne-indiranagar/info
110,Cuppa Redefined,"HSR, Bangalore",700,"Cafe, American, Burger, Healthy Food, Salad, Fast Food, Desserts, Beverages",4.3,https://www.zomato.com/bangalore/cuppa-redefined-hsr-bangalore/info
111,TBC- Sky Lounge,"HSR, Bangalore",1500,"Continental, Italian, Asian, North Indian, South Indian, Biryani, Desserts, Beverages",4.5,https://www.zomato.com/bangalore/tbc-sky-lounge-hsr-bangalore/info
112,Butterfly Brew Bite & Fly,"JP Nagar, Bangalore",1500,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore/info
113,Backstreet Brewery,"Sarjapur Road, Bangalore",1800,"Italian, Bar Food, Pizza, North Indian, Asian, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/backstreet-brewery-sarjapur-road-bangalore/info
114,Gold Rush Brews,"KR Puram, Bangalore",1900,"North Indian, Italian, Asian, Continental, American, South Indian, Beverages, Desserts",4.4,https://www.zomato.com/bangalore/gold-rush-brews-kr-puram-bangalore/info
115,Masala Mandi,"Sarjapur Road, Bangalore",1800,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",4.3,https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore/info
116,JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road, Bangalore",5000,"North Indian, Continental, Mughlai, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/jw-kitchen-jw-marriott-bengaluru-lavelle-road/info
117,Neo Kitchen,"Embassy Manyata Business Park,  Nagawara , Bangalore",3100,"Asian, Continental, Italian, South Indian, North Indian, Biryani, Desserts, Beverages",4.2,https://www.zomato.com/bangalore/neo-kitchen-1-nagawara-bangalore/info
118,The Watering Hole,"BTM, Bangalore",1400,"Continental, North Indian, European, Asian, Desserts, Beverages",New,https://www.zomato.com/bangalore/the-watering-hole-btm-bangalore/info
119,Orah Brew Garden,"Yelahanka, Bangalore",1300,"Asian, Continental, Desserts, European, Modern Indian",4.2,https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info
120,Nuage,"Indiranagar, Bangalore",950,"Burger, Bakery, Continental",4.5,https://www.zomato.com/bangalore/nuage-indiranagar-bangalore/info
121,Zodiac Bar & Kitchen,"Brookefield, Bangalore",1800,"Continental, North Indian, Pizza, Italian, Chinese, Fast Food, Biryani, Desserts",4.3,https://www.zomato.com/bangalore/zodiac-bar-kitchen-brookefield-bangalore/info
122,Hoot,"Sarjapur Road, Bangalore",2000,"Continental, Italian, North Indian, Beverages",4.2,https://www.zomato.com/bangalore/hoot-sarjapur-road/info
123,Buff Buffet Buff,"BluPetal Hotel, Koramangala, Bangalore",1800,"South Indian, Salad, Bar Food, North Indian, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/buff-buffet-buff-koramangala-5th-block/info
124,Indian Biere House,"JP Nagar, Bangalore",2500,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages",4.4,https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info
