,name,latitude,longitude,delivery_review_number,location
428,Beijing Bites,12.9334963161,77.6218662411,10.3K,"Koramangala 5th Block, Bangalore"
429,Sanadige - Goldfinch Hotel,12.9853875975,77.5796576589,491,"Goldfinch Hotel, Seshadripuram, Bangalore"
430,Animal Bar,12.9239662141,77.6403801307,0,"Koramangala 1st Block, Bangalore"
431,B Town Barbeque,12.9042344801,77.5079289832,0,"Rajarajeshwari Nagar, Bangalore"
432,Olio - The Wood Fired Pizzeria,12.9338260000,77.6160520000,0,"Koramangala 5th Block, Bangalore"
433,Glass – Kitchen & Bar,12.9806258666,77.5782582164,3,"Holiday Inn, Race Course Road, Bangalore., Bangalore"
434,Publik,12.9303377340,77.6857014745,96,"Bellandur, Bangalore"
435,Kerbside Bistro,13.0078134922,77.5779666804,0,"Sadashiv Nagar, Bangalore"
436,Lot Like Crepes & Cafe,12.9807761525,77.7509160340,388,"Whitefield, Bangalore"
437,OYA Urban Cafe,12.9956500831,77.6166600734,184,"Frazer Town, Bangalore"
438,Kava - Fairfield By Marriott,12.9830600000,77.5598100000,88,"Fairfield by Marriott,Rajajinagar , Bangalore"
439,Arogya Ahaara,12.9181383481,77.6378027411,"8,919","HSR, Bangalore"
440,Chin Lung Resto Bar,12.9318444865,77.6321789995,415,"Koramangala 4th Block, Bangalore"
441,Bathinda Junction,12.9353669000,77.6140422000,12.9K,"Koramangala 7th Block, Bangalore"
442,Kanti Sweets,12.8855669000,77.7456404000,"2,017","Sarjapur Road, Bangalore"
443,Dhanyam Cafe,12.9241583521,77.5779125467,2,"Jayanagar, Bangalore"
444,The Kabab Studio - Goldfinch Hotel,12.9849550433,77.5799781829,12,"Goldfinch Hotel, Seshadripuram, Bangalore"
445,Watson's,12.9672203286,77.6412740350,46,"Indiranagar, Bangalore"
446,Secret Spot Cafe,12.9309961837,77.5860215351,22,"Jayanagar, Bangalore"
447,Chai Fast,12.9274935000,77.6332759000,233,"Koramangala 1st Block, Bangalore"
448,LOFT38,12.9711854451,77.6411882043,11,"Indiranagar, Bangalore"
449,The Big Barn,12.8760569000,77.5296288000,48,"Kanakapura Road, Bangalore"
450,Mahe Global Kitchen,12.9337640000,77.6218470000,3,"Koramangala 5th Block, Bangalore"
451,Travellers Bungalow,12.9701586000,77.6458046000,165,"Indiranagar, Bangalore"
452,Tiddly Tavern Bar & Grill,12.9870000000,77.7363000000,7,"Ascendas Park Square, Whitefield, Bangalore"
453,Blue Butterfly Bar & Kitchen,12.8414943000,77.6449337000,0,"Bommasandra, Bangalore"
454,Jain Sweets And Savories,13.0026029023,77.7571105957,535,"Whitefield, Bangalore"
455,Temple Of The Senses,12.9750818882,77.6028245687,138,"Church Street, Bangalore"
