,name,location,price_for_two,cuisines,rating,restaurant_link
170,Candles  Brewhouse,"RMZ Azure, Bangalore",2500,"Italian, Continental, American, Pizza, North Indian",4.3,https://www.zomato.com//bangalore/candles-brewhouse-hebbal-bangalore/info
171,Kaara By The Lake,"Ulsoor, Bangalore",850,"Italian, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/kaara-by-the-lake-ulsoor-bangalore/info
172,Brahma Brews,"JP Nagar, Bangalore",2500,"Asian, North Indian, South Indian",4.5,https://www.zomato.com//bangalore/brahma-brews-jp-nagar-bangalore/info
173,Chalukya Samrat Cafe Since 1977,"1 Sobha, Bangalore",1000,"South Indian, North Indian, Chinese, Street Food, Beverages",4.4,https://www.zomato.com//bangalore/chalukya-samrat-cafe-since-1977-st-marks-road-bangalore/info
174,Pijja,"Indiranagar, Bangalore",500,"Italian, Pizza",New,https://www.zomato.com//bangalore/pijja-2-indiranagar-bangalore/info
175,The Fisherman's Wharf,"Sarjapur Road, Bangalore",1900,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/the-fishermans-wharf-sarjapur-road/info
176,Biryani By Kilo,"Marathahalli, Bangalore",600,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.1,https://www.zomato.com//bangalore/biryani-by-kilo-marathahalli-bangalore/info
177,Kapoor's Cafe,"Jayanagar, Bangalore",1000,"North Indian, Fast Food, Street Food, Desserts",3.4,https://www.zomato.com//bangalore/kapoors-cafe-jayanagar-bangalore/info
178,The Fixx,"Koramangala 4th Block, Bangalore",1800,"North Indian, Continental, Chinese, Seafood, Pasta, Pizza, Biryani, Beverages",4.1,https://www.zomato.com//bangalore/the-fixx-1-koramangala-4th-block-bangalore/info
179,Onesta,"Koramangala 4th Block, Bangalore",1000,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/onesta-koramangala-4th-block-bangalore/info
180,Glen's Bakehouse,"Indiranagar, Bangalore",800,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",3.9,https://www.zomato.com//bangalore/glens-bakehouse-indiranagar-bangalore/info
181,Teatings,"HSR, Bangalore",1000,"Continental, Pasta, Sandwich, Salad, Tea, Beverages, Desserts",New,https://www.zomato.com//bangalore/teatings-hsr-bangalore/info
182,Brother Barley Brewing Company,"HSR, Bangalore",1800,"Finger Food, Continental, North Indian, Chinese, Italian, Beverages, Desserts",4.2,https://www.zomato.com//bangalore/brother-barley-brewing-company-hsr-bangalore/info
183,Shiro,"UB City, Bangalore",3500,"Japanese, Sushi, Asian, Desserts, Thai, Korean, Cantonese, Vietnamese",4.1,https://www.zomato.com//bangalore/shiro-lavelle-road/info
184,Vapour Brewpub And Diner,"Sarjapur Road, Bangalore",2200,"North Indian, Continental, Italian, European, Biryani, Salad, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/vapour-brewpub-and-diner-sarjapur-road-bangalore/info
185,Omega IX Cocktail Bar And Global Kitchen,"Sahakara Nagar, Bangalore",1800,"North Indian, Continental, Asian, Sushi, Italian, Desserts, Beverages",4.5,https://www.zomato.com//bangalore/omega-ix-cocktail-bar-and-global-kitchen-sahakara-nagar-bangalore/info
